index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
2422,N2,1002422,bridge,A,,24.3959163,91.5608333,419.0,HASANABAD BOX CULVERT,,
2423,N2,1002423,bridge,A,,24.3974163,91.5618333,204.0,HASANABAD,,
2424,N2,1002424,bridge,A,,24.3975406188811,91.5619265475524,3.0,MONDUL KAFON,,
2425,N2,1002425,link,,,24.3985274,91.5626667,143.0,,,
2426,N2,1002426,bridge,A,,24.3998052,91.5635556,178.0,PUTI JURRI,,
2427,N2,1002427,bridge,A,,24.4034167,91.5644444,415.0,PUTA JURI PC GIRDER BRIDGE,,
2428,N2,1002428,link,,,24.406,91.5648889,294.0,,,
2429,N2,1002429,bridge,C,,24.4061944,91.5648889,20.0,PUTA JURI BOX CULVERT,,
2430,N2,1002430,link,,,24.4071389,91.5649167,98.0,,,
2431,N2,1002431,bridge,A,,24.4076111,91.5649167,55.0,PUTA JURI SCHOOL,,
2432,N2,1002432,bridge,A,,24.4100556,91.5649722,276.0,KAZI MADAM,,
2433,N2,1002433,bridge,A,,24.4151244789237,91.5658325408071,6.2,RASURAT BOX CULVERT 2,,
2434,N2,1002434,link,,,24.4161111,91.566,669.0,,,
2435,N2,1002435,bridge,A,,24.4166389,91.5661111,69.0,RAJSURAT BOX CULVERT,,
2436,N2,1002436,link,,,24.41938386425532,91.56687635787236,316.0,,,
2437,N2,1002437,bridge,A,,24.4207216,91.5672493,154.0,SHUKCHAR,,
2438,N2,1002438,bridge,A,,24.4220827,91.5675549,157.0,SHUKCHAR,,
2439,N2,1002439,bridge,B,,24.4234977390625,91.5678518695312,37.1,SHUK GHAR RCC GRIDER,,
