road,id,model_type,condition,name,lat,lon,length,bridge_name
N1,1399,link,,,22.9497497,91.4883608,1008.0,
N1,1400,link,,,22.9497774,91.4980274,1000.0,
N1,1401,link,,,22.9496663,91.5007778,288.0,
N1,1402,bridge,B,,22.9496126090047,91.502066899526,191.5,MUHURI BRIDGE
N1,1403,link,,,22.949583,91.5027778,211.0,
N1,1404,link,,,22.9482774,91.50725,509.0,
N1,1405,link,,,22.9439441,91.5108611,619.0,
N1,1406,link,,,22.940833,91.5124444,381.0,
N1,1407,link,,,22.9329716,91.5172216,1000.0,
N1,1408,link,,,22.9248882,91.5213327,1000.0,
N1,1409,link,,,22.9167216,91.5253882,1000.0,
N1,1410,link,,,22.9156667,91.5259438,134.0,
N1,1411,bridge,B,,22.9149647061403,91.5262895350877,220.6,DHOOM GHAT PC GIRDER
N1,1412,link,,,22.9138056,91.5268604,228.0,
N1,1413,bridge,A,,22.9097128884012,91.5289285034482,6.1,BUMGAT BOXCULVERT
N1,1414,link,,,22.9085833,91.5294993,638.0,
N1,1415,bridge,A,,22.9046667,91.5314438,464.0,BAROYARHAT BOX CULVERT
N1,1416,bridge,A,,22.9042462955223,91.5316297776119,3.0,BOROYAR PARA SLUB CULVERT
N1,1417,link,,,22.9003333,91.5333608,536.0,
